citing_year	citation_intent	citation_content
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2010	Signal Gap	Produced Resource
2010	Signal Gap	Produced Resource
2010	Evaluate Against	Performed Work
2010	Justify Design Choice	Produced Resource
2010	Signal Gap	Performed Work
2010	Signal Gap	Produced Resource
2011	Signal Gap	Produced Resource
2014	Use	Produced Resource
2000	Evaluate Against	Performed Work
2014	Justify Design Choice	Discovery
2014	Contextualize	Performed Work
2014	Justify Design Choice	Performed Work
2014	Contextualize	Discovery
2014	Justify Design Choice	Performed Work
2000	Evaluate Against	Performed Work
2000	Contextualize	Performed Work
2000	Use	Produced Resource
2000	Highlight Limitation	Performed Work
2000	Signal Gap	Produced Resource
2000	Signal Gap	Produced Resource
2008	Use	Produced Resource
2008	Justify Design Choice	Discovery
2008	Use	Produced Resource
2008	Use	Produced Resource
2008	Use	Produced Resource
2008	Use	Produced Resource
2000	Signal Gap	Produced Resource
2008	Use	Produced Resource
2008	Use	Produced Resource
2008	Evaluate Against	Produced Resource
2008	Evaluate Against	Produced Resource
2008	Highlight Limitation	Discovery
2008	Contextualize	Produced Resource
2008	Justify Design Choice	Discovery
2008	Contextualize	Performed Work
2008	Contextualize	Produced Resource
2008	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2008	Highlight Limitation	Discovery
2008	Contextualize	Performed Work
2008	Contextualize	Produced Resource
2008	Use	Produced Resource
2008	Contextualize	Performed Work
2008	Use	Produced Resource
2008	Justify Design Choice	Discovery
2008	Contextualize	Produced Resource
2008	Contextualize	Performed Work
2008	Evaluate Against	Discovery
2000	Use	Produced Resource
2008	Evaluate Against	Produced Resource
2008	Contextualize	Produced Resource
2008	Highlight Limitation	Produced Resource
2008	Signal Gap	Produced Resource
2008	Contextualize	Performed Work
2008	Justify Design Choice	Discovery
2008	Contextualize	Produced Resource
2008	Signal Gap	Produced Resource
2009	Contextualize	Produced Resource
2009	Contextualize	Performed Work
2000	Contextualize	Performed Work
2009	Contextualize	Discovery
2010	Evaluate Against	Discovery
2010	Evaluate Against	Discovery
2010	Evaluate Against	Discovery
2010	Justify Design Choice	Discovery
2010	Evaluate Against	Produced Resource
2010	Contextualize	Discovery
2012	Use	Produced Resource
2012	Highlight Limitation	Produced Resource
2012	Evaluate Against	Produced Resource
2000	Contextualize	Produced Resource
2012	Modify	Produced Resource
2012	Justify Design Choice	Performed Work
2012	Modify	Produced Resource
2014	Justify Design Choice	Produced Resource
2015	Justify Design Choice	Discovery
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Evaluate Against	Produced Resource
2000	Contextualize	Discovery
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2009	Evaluate Against	Produced Resource
2000	Evaluate Against	Produced Resource
2000	Contextualize	Discovery
2000	Modify	Produced Resource
